"Expansion for Base-game, Economic, Environmental, Industry / Manufacturing, Science Fiction",0
"Age of Reason, Economic, Industry / Manufacturing, Post-Napoleonic, Trains, Transportation",1
"Dice, Medieval, Territory Building",2
"Environmental, Medical",3
"Animals, Economic, Environmental",4
"Adventure, Exploration, Fantasy, Fighting, Miniatures",5
"Civilization, Economic, Exploration, Negotiation, Political, Science Fiction, Space Exploration, Wargame",6
"Movies / TV / Radio theme, Novel-based, Political, Science Fiction",7
"Economic, Environmental, Industry / Manufacturing, Science Fiction, Space Exploration, Territory Building",8
"Fantasy, Fighting, Novel-based, Territory Building, Wargame",9
"Civil War, Miniatures, Movies / TV / Radio theme, Science Fiction, Space Exploration, Wargame",10
"Expansion for Base-game, Fantasy, Fighting, Mythology, Territory Building",11
"Environmental, Fantasy, Fighting, Mythology, Territory Building",12
"Civilization, Economic, Miniatures, Science Fiction, Space Exploration, Territory Building",13
"Expansion for Base-game, Fantasy, Fighting, Mythology",14
"Expansion for Base-game, Movies / TV / Radio theme, Novel-based, Political, Science Fiction",15
"Modern Warfare, Political, Wargame",16
"Card Game, Civilization, Economic",17
"Animals, Dice, Medieval, Territory Building",18
"Expansion for Base-game, Farming",19
"American West, Animals, Economic",20
"Economic, Fighting, Science Fiction, Territory Building",21
"Civilization, Exploration, Science Fiction, Space Exploration, Territory Building, Wargame",22
"Ancient, Card Game, City Building, Civilization, Economic",23
"Economic, Industry / Manufacturing, Post-Napoleonic, Transportation",24
"Adventure, Exploration, Fantasy, Fighting",25
"Expansion for Base-game, Adventure, Ancient, Exploration, Travel",26
"Civilization, Economic, Expansion for Base-game, Fighting, Science Fiction, Territory Building",27
"Adventure, Horror, Miniatures, Science Fiction",28
"Adventure, Fantasy, Miniatures",29
"Economic, Farming, Industry / Manufacturing, Medieval, Puzzle",30
"Ancient, Economic, Nautical",31
"Expansion for Base-game, Animals, Economic, Educational",32
"Animals, Economic, Educational, Expansion for Base-game",33
"Adventure, Card Game, Collectible Components, Exploration, Horror, Novel-based",34
"Adventure, Exploration, Fantasy",35
"Animals, Fantasy, Negotiation, Territory Building, Wargame",36
"Expansion for Base-game, Animals, Economic, Environmental",37
"Adventure, Dice, Fantasy, Fighting",38
"Civilization, Economic, Fantasy, Territory Building",39
"Animals, Card Game, Educational",40
"Expansion for Base-game, Economic, Environmental, Industry / Manufacturing, Science Fiction, Space Exploration, Territory Building",41
"Medieval, Religious, Travel",42
"Economic, Environmental, Industry / Manufacturing",43
Aviation / Flight,44
"Card Game, Expansion for Base-game, Medieval",45
"Adventure, Card Game, Deduction, Mythology, Nautical",46
"Animals, Card Game, City Building, Fantasy",47
"Economic, Farming",48
"Card Game, Fantasy, Novel-based",49
"City Building, Expansion for Base-game, Fantasy",50
"Racing, Sports",51
"Card Game, Collectible Components, Comic Book / Strip, Fighting",52
"Economic, Expansion for Base-game, Territory Building",53
Action / Dexterity,54
"Economic, Industry / Manufacturing",55
"Economic, Educational, Negotiation, Political, Post-Napoleonic, Spies / Secret Agents",56
"Card Game, City Building, Civilization, Industry / Manufacturing, Nautical, Science Fiction",57
"Economic, Educational, Negotiation, Political",58
"City Building, Economic, Farming",59
"Animals, Environmental, Puzzle",60
"Fantasy, Fighting, Horror, Miniatures, Novel-based",61
Spies / Secret Agents,62
"Animals, Expansion for Base-game, Fantasy, Wargame",63
"Animals, Economic, Fantasy, Farming",64
"Economic, Science Fiction",65
"Expansion for Base-game, Movies / TV / Radio theme, Science Fiction, Wargame",66
"City Building, Economic, Exploration, Science Fiction, Space Exploration, Territory Building",67
"Adventure, Card Game, Fantasy, Fighting, Video Game Theme",68
"Fantasy, Fighting, Miniatures, Mythology",69
"Animals, Economic, Farming",70
