,0
"84876, 264104, 110926, 132477, 139160, 150083, 166589, 190225, 193585, 214005, 234163",1
245664,2
140045,3
"84876, 264104, 132477, 166589, 190225, 214005, 234163",4
"96848, 277519, 144763, 176130, 130704",5
48791,6
"43015, 162179, 83404, 213292",7
"3076, 12382, 159761",8
"265081, 265083, 265084",9
"289057, 319422, 297973, 332397, 332390, 319420, 319419",10
"9209, 24439",11
"225704, 238620",12
"2655, 70704, 30323",13
"244358, 172659, 255743, 163068",14
200200,15
"53383, 14996, 243684, 185306",16
"176990, 149054, 189476",17
"166842, 175844",18
"144733, 206944, 181693, 234335, 325037, 166410",19
"266967, 266966, 266964, 266965",20
30746,21
85450,22
"148949, 207573, 192779, 172505",23
"822, 120686, 2993, 5405, 118618, 118614, 118615, 118617, 118619, 2591, 118616",24
"93, 597, 3146, 370, 5754, 27759",25
"130655, 140045",26
"322561, 322562, 322563, 320527",27
"25031, 29416",28
"31481, 97845, 40484, 132435, 33963, 38378",29
"199792, 297973, 297972, 261142",30
"123260, 171007, 145196, 290858, 275850, 277302, 277303, 176806, 128386, 412887",31
"189932, 213437",32
83445,33
"247113, 397412, 247114",34
"40484, 33963",35
"401141, 401144, 401139, 401140, 401143",36
"360152, 360061, 360153",37
"292800, 275756",38
"185343, 297528, 218791, 272077, 286574",39
312319,40
284466,41
"216092, 216091, 216094",42
"332229, 332230, 341008",43
"822, 2591",44
"6249, 39109, 13287, 16494, 22279, 9687",45
155127,46
"224479, 224653, 308603",47
186293,48
"327913, 331952, 331953",49
"39938, 83538, 129508, 177353, 61965, 204252",50
