"As the mega corporations are getting ready to start the terraforming process, you now have the chance to make those early choices that will come to define your corporation and set the course for the future history of Mars - this is the prelude to your greatest endeavors!&lt;br/&gt;&lt;br/&gt;Terraforming Mars: Prelude introduces the new Prelude cards. At the start of the game, each player chooses from Prelude cards that jumpstart the terraforming process or boost their corporation&apos;s engine. This expans...",0
"Brass: Birmingham is an economic strategy game sequel to Martin Wallace&apos;s 2007 masterpiece, Brass. Brass: Birmingham tells the story of competing entrepreneurs in Birmingham during the industrial revolution between the years of 1770 and 1870.&lt;br/&gt;&lt;br/&gt;It offers a very different story arc and experience from its predecessor. As in its predecessor, you must develop, build and establish your industries and network in an effort to exploit low or high market demands. The game is played over two ...",1
"Castles of Burgundy is a legendary Board Game design created by Stefan Feld. In this 1-4 players tabletop experience, you will take on the role of an aristocrat controlling a small princedom. Trying to build a settlement with powerful castles, practice trades, exploit silver mines, and use the knowledge of travelers.&lt;br/&gt;Now, this timeless game is coming back with an extremely polished, high-end special edition resulting from a collaboration between Ravensburger and Awaken Realms.&lt;br/&gt;&lt;br/&gt...",2
"Pandemic Legacy is a co-operative campaign game, with an overarching story arc played through 12-24 sessions, depending on how well your group does at the game. At the beginning, the game starts in a very similar fashion as basic Pandemic, in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hot spots while researching cures for each of four plagues before they get out of hand.&lt;br/&gt;&lt;br/&gt;During a player&apos;s turn, they have four...",3
"In Ark Nova, you will plan and design a modern, scientifically managed zoo. With the ultimate goal of owning the most successful zoological establishment, you will build enclosures, accommodate animals, and support conservation projects all over the world. Specialists and unique buildings will help you in achieving this goal.&lt;br/&gt;&lt;br/&gt;Each player has a set of five action cards to manage their gameplay, and the power of an action is determined by the slot the card currently occupies. The cards in...",4
"Gloomhaven  is a game of Euro-inspired tactical combat in a persistent world of shifting motives. Players will take on the roles of wandering adventurers with their own special sets of skills and their own reasons for traveling to this dark corner of the world. Players must work together out of necessity to clear out menacing dungeons and forgotten ruins. In the process, they will enhance their abilities with experience and loot, discover new locations to explore and plunder, and expand an ever-branching st...",5
"Twilight Imperium (Fourth Edition) is a game of galactic conquest in which three to six players each take on the role of one of seventeen factions vying for galactic domination through military might, political maneuvering, and economic bargaining. Every faction offers a completely different play experience, from the wormhole-hopping Ghosts of Creuss to the Emirates of Hacan, masters of trade and economics. These seventeen races are offered many paths to victory, but only one may sit upon the throne of Meca...",6
"Dune: Imperium is a game that uses deck building to add a hidden information angle to traditional worker placement. It finds inspiration in elements and characters from the Dune legacy, both the new film from Legendary Pictures and the seminal literary series from Frank Herbert, Brian Herbert, and Kevin J. Anderson.&lt;br/&gt;&lt;br/&gt;As a leader of one of the Great Houses of the Landsraad, raise your banner and marshal your forces and spies. War is coming, and at the center of the conflict is Arrakis &nd...",7
"In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure through...",8
"In War of the Ring, one player takes control of the Free Peoples (FP) while the other player controls Shadow Armies (SA). Initially, the Free People Nations are reluctant to take arms against Sauron, so they must be attacked by Sauron or persuaded by Gandalf or other Companions before they start to fight in earnest: this is represented by the Political Track which shows if a Nation is ready to fight in the War of the Ring or not.&lt;br/&gt;&lt;br/&gt;The game can be won by a military victory if Sauron conqu...",9
"Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players.&lt;br/&gt;&lt;br/&gt;Experience the Galactic Civil War like never before. In Rebellion, you control the entire Galactic Empire or the fledgling Rebel Alliance. You must command starships, account for troop movements, and rally systems to your cause. Given the differences between the Empire and Rebel Alliance, each side has different win conditions, and you&apos;ll need to adjust your...",10
"The battle against the colonizing invaders rages on!&lt;br/&gt;&lt;br/&gt;Known Spirits adopt different Aspects to battle the Invaders, and new Spirits join the fray. Some transform the island, making it hazardous and deadly to all humanity, while others work with the Dahan to fight back in other ways. Hard choices confront the Spirits, and even Stone&apos;s Unyielding Defiance must weigh trade-offs.&lt;br/&gt;&lt;br/&gt;Jagged Earth is an expansion for the base game of Spirit Island. No other expansions ar...",11
"In the most distant reaches of the world, magic still exists, embodied by spirits of the land, of the sky, and of every natural thing. As the great powers of Europe stretch their colonial empires further and further, they will inevitably lay claim to a place where spirits still hold power - and when they do, the land itself will fight back alongside the islanders who live there.&lt;br/&gt;&lt;br/&gt;Spirit Island is a complex and thematic co-operative game about defending your island home from colonizing In...",12
"Gloomhaven: Jaws of the Lion is a standalone game that takes place before the events of Gloomhaven. The game includes four new characters &mdash; Valrath Red Guard (tank, crowd control), Inox Hatchet (ranged damage), Human Voidwarden (support, mind control), and Quatryl Demolitionist (melee damage, obstacle manipulation) &mdash; that can also be used in the original Gloomhaven game.&lt;br/&gt;&lt;br/&gt;The game also includes 16 monster types (including seven new standard monsters and three new bosses) and ...",13
