,0
"295770, 291457, 295770, 291457",1
"397598, 397598",2
"367498, 367498",3
"295770, 174430, 295770, 174430",4
"316554, 316554",5
"300192, 383492, 300192, 383492",6
"310100, 310100",7
"174430, 390478, 291457, 174430, 390478, 291457",8
"347811, 235802, 347811, 235802",9
"366161, 366161",10
"373600, 433640, 373600, 433640",11
"329933, 329933",12
"203780, 203780",13
"345976, 345976",14
"241451, 331212, 299317, 412268, 270633, 218417, 241451, 331212, 299317, 412268, 270633, 218417",15
"266192, 266192",16
"271615, 271615",17
"176371, 75547, 176371, 75547",18
"36218, 209418, 275626, 36218, 209418, 275626",19
"167355, 167355",20
"40834, 40834",21
"191189, 241451, 331212, 299317, 412268, 270633, 191189, 241451, 331212, 299317, 412268, 270633",22
"205158, 220775, 224037, 249821, 220774, 198773, 366383, 290028, 205158, 220775, 224037, 249821, 220774, 198773, 366383, 290028",23
"315767, 322045, 315767, 322045",24
"182631, 230253, 360676, 182631, 230253, 360676",25
"361215, 366409, 240480, 242690, 242694, 231392, 242693, 242692, 289793, 289787, 289792, 362914, 289789, 289790, 289788, 369934, 282781, 283160, 183750, 210402, 203381, 210396, 210412, 210400, 210390, 248927, 210397, 210410, 210405, 210401, 238506, 210465, 210399, 210406, 207905, 212298, 265960, 297821, 256727, 342089, 376416, 280890, 218575, 242683, 242689, 281319, 416130, 277273, 312887, 303552, 281318, 371042, 400786, 361215, 366409, 240480, 242690, 242694, 231392, 242693, 242692, 289793, 289787, 289792, 362914, 289789, 289790, 289788, 369934, 282781, 283160, 183750, 210402, 203381, 210396, 210412, 210400, 210390, 248927, 210397, 210410, 210405, 210401, 238506, 210465, 210399, 210406, 207905, 212298, 265960, 297821, 256727, 342089, 376416, 280890, 218575, 242683, 242689, 281319, 416130, 277273, 312887, 303552, 281318, 371042, 400786",26
"427345, 427345",27
"192135, 347811, 192135, 347811",28
"259970, 259970",29
"307511, 223931, 204305, 296345, 238065, 6266, 307511, 223931, 204305, 296345, 238065, 6266",30
"195571, 174570, 195571, 174570",31
"381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860, 381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860",32
"183562, 183562",33
"214988, 214988",34
"422332, 422332",35
"45748, 358124, 401313, 45748, 358124, 401313",36
"193037, 193037",37
"191189, 331212, 299317, 412268, 270633, 218417, 191189, 331212, 299317, 412268, 270633, 218417",38
"147020, 355199, 298628, 230253, 360676, 216123, 147020, 355199, 298628, 230253, 360676, 216123",39
"23418, 23418",40
"2346, 527, 217083, 19764, 108, 31999, 7854, 528, 2346, 527, 217083, 19764, 108, 31999, 7854, 528",41
"172818, 172818",42
"247236, 247236",43
"178900, 205158, 198773, 178900, 205158, 198773",44
"252985, 394960, 156689, 252985, 394960, 156689",45
"312318, 283619, 312318, 283619",46
"381297, 425276, 295564, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860, 381297, 425276, 295564, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860",47
"224710, 383496, 224710, 383496",48
"254708, 254708",49
"378136, 378136",50
"283151, 404462, 255249, 283152, 179448, 195709, 217644, 221248, 283151, 404462, 255249, 283152, 179448, 195709, 217644, 221248",51
"418762, 377969, 379908, 336382, 418762, 377969, 379908, 336382",52
"232043, 232043",53
"147020, 355199, 182631, 298628, 360676, 216123, 147020, 355199, 182631, 298628, 360676, 216123",54
"191189, 241451, 331212, 299317, 412268, 218417, 191189, 241451, 331212, 299317, 412268, 218417",55
"268201, 216734, 291794, 322561, 322562, 322563, 320527, 348406, 360152, 360061, 360153, 403494, 438729, 438727, 268201, 216734, 291794, 322561, 322562, 322563, 320527, 348406, 360152, 360061, 360153, 403494, 438729, 438727",56
"164702, 220827, 164702, 220827",57
"39856, 415714, 381308, 121288, 329845, 39856, 415714, 381308, 121288, 329845",58
"179803, 181524, 223136, 179803, 181524, 223136",59
"367518, 318182, 367518, 318182",60
"339263, 339263",61
"395364, 395364",62
"270970, 242574, 270970, 242574",63
"58281, 158889, 260837, 82420, 82421, 58281, 158889, 260837, 82420, 82421",64
"97786, 97786",65
"423553, 185589, 401175, 195421, 423553, 185589, 401175, 195421",66
"437382, 43262, 437382, 43262",67
"150376, 150376",68
"419645, 419642, 392513, 390173, 419645, 419642, 392513, 390173",69
"435861, 435861",70
"418762, 298047, 377969, 379908, 418762, 298047, 377969, 379908",71
"415714, 381308, 121288, 92828, 329845, 415714, 381308, 121288, 92828, 329845",72
"358981, 358981",73
"381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 415945, 383469, 326936, 411861, 411860, 381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 415945, 383469, 326936, 411861, 411860",74
"322750, 322751, 322750, 322751",75
"263918, 263918",76
"172503, 172503",77
"440015, 440015",78
"268201, 244271, 266967, 266966, 266964, 266965, 348406, 360152, 360061, 360153, 403494, 438729, 438727, 268201, 244271, 266967, 266966, 266964, 266965, 348406, 360152, 360061, 360153, 403494, 438729, 438727",79
"403240, 403240",80
"178900, 205158, 220775, 224037, 220774, 290028, 178900, 205158, 220775, 224037, 220774, 290028",81
"318184, 367518, 318184, 367518",82
"143347, 131240, 143347, 131240",83
"415112, 331398, 415112, 331398",84
"262201, 262201",85
"314088, 352606, 314088, 352606",86
"223931, 296345, 2511, 270213, 223931, 296345, 2511, 270213",87
"436759, 436759",88
"381297, 425276, 295564, 274637, 439765, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860, 381297, 425276, 295564, 274637, 439765, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 325635, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860",89
"179820, 179820",90
"381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860, 381297, 425276, 295564, 274637, 439765, 335764, 383467, 315060, 294484, 326937, 326934, 354544, 284778, 284777, 428308, 326933, 274638, 415945, 383469, 326936, 411861, 411860",91
"24703, 54361, 368557, 27976, 416118, 24703, 54361, 368557, 27976, 416118",92
"58601, 306919, 58601, 306919",93
"192766, 192766",94
