,0
429152,1
"271320, 363622",2
425773,3
"181289, 356238",4
"420068, 171905",5
248562,6
142131,7
319422,8
434027,9
406767,10
"108687, 165332, 318985, 367272",11
"232900, 278292",12
440147,13
331259,14
407181,15
"326869, 349955, 441706",16
359999,17
270439,18
393531,19
328413,20
"301201, 171908, 147170",21
381715,22
"334931, 270716",23
"410768, 386835",24
160069,25
321563,26
"441548, 255668",27
437211,28
443092,29
338476,30
195850,31
"142131, 142132, 149083",32
329591,33
286749,34
272910,35
314550,36
389092,37
336847,38
"355199, 298628, 216123",39
295260,40
329841,41
368320,42
"142057, 141008, 141007, 140711, 164127, 230914, 364405, 154094, 160094, 160095",43
260678,44
"216849, 275626",45
251219,46
407180,47
419572,48
60153,49
427593,50
"142057, 141008, 141007, 140711, 164127, 230914, 364405, 161729, 154094, 160094, 160095",51
"314550, 245646, 344719",52
"35863, 7159, 2883",53
"142057, 141008, 141007, 140711, 164127, 230914, 364405, 161729, 154094, 147782, 89952, 329954, 301201, 160094, 316344",54
"343588, 267367",55
365056,56
420068,57
176601,58
313051,59
407265,60
332032,61
383037,62
369258,63
336755,64
313924,65
319419,66
"176103, 418113",67
140068,68
418470,69
429653,70
156455,71
336849,72
355997,73
"154597, 427593",74
"422433, 422426",75
268191,76
"17419, 358860",77
379666,78
373597,79
429401,80
332398,81
"301401, 441365",82
"209167, 379666, 202937, 152961",83
325941,84
382315,85
186659,86
378979,87
319031,88
"174610, 383197",89
140135,90
185257,91
400922,92
161617,93
319765,94
255262,95
"172592, 142132, 275626, 177903",96
"357726, 357813",97
213984,98
309109,99
351735,100
425064,101
322045,102
407813,103
319196,104
"195274, 169776, 7159, 149072, 96628, 157432, 188909",105
347521,106
214000,107
428908,108
"25031, 358526",109
391288,110
"139991, 290829",111
282391,112
428031,113
170815,114
"140135, 241991",115
"351605, 439086",116
341504,117
308762,118
375769,119
"70918, 272743, 290357",120
"102696, 358526",121
358526,122
25031,123
402429,124
356510,125
151377,126
"17419, 298278, 305668, 338697, 182880, 191710, 269980, 394723, 265030, 152959",127
"298278, 358860, 217947",128
"45358, 326355, 433587, 140709, 251830",129
379806,130
331265,131
"140135, 241989",132
269476,133
424972,134
411367,135
201856,136
363096,137
"343588, 332410, 267367",138
289843,139
319420,140
"426945, 174458, 186567",141
"275626, 177903",142
"232900, 297528, 278292",143
419708,144
"246912, 406321",145
327890,146
106645,147
276502,148
289223,149
"306656, 158408",150
317637,151
"378887, 393871",152
436127,153
177352,154
437698,155
12541,156
188076,157
"371095, 139993, 229130, 360918, 257180",158
428279,159
169814,160
259586,161
"367513, 379806",162
215946,163
255924,164
"389337, 157820, 232894",165
"261588, 158976",166
255524,167
216727,168
417268,169
"155731, 186375",170
