,0
28720,1
30549,2
12493,3
9609,4
120677,5
25613,6
147101,7
72125,8
150083,9
68448,10
201808,11
"193738, 238620",12
284083,13
128621,14
173346,15
109276,16
"155255, 198843",17
"30549, 221107",18
31260,19
23985,20
"30549, 161936",21
83330,22
12166,23
"17226, 104162",24
1301,25
130518,26
9209,27
341169,28
124361,29
134253,30
148228,31
33759,32
15987,33
26055,34
266192,35
42052,36
22827,37
241611,38
28143,39
205637,40
36218,41
167791,42
33160,43
129437,44
66362,45
171623,46
3284,47
233867,48
121,49
551,50
17226,51
"15, 40529, 40531",52
41114,53
4098,54
6472,55
230802,56
"40765, 146244, 167825",57
30,58
211716,59
273779,60
153938,61
209685,62
133473,63
113924,64
147020,65
9963,66
144344,67
3307,68
"33160, 233398",69
271055,70
127023,71
804,72
"340252, 322864, 372",73
40237,74
129622,75
164127,76
"58281, 93260",77
324345,78
2651,79
172996,80
73369,81
"39232, 57804",82
20963,83
24181,84
25,85
60,86
77423,87
170042,88
198953,89
18258,90
25417,91
113997,92
"340252, 322864",93
3076,94
244522,95
115746,96
216734,97
34,98
164878,99
238024,100
65781,101
932,102
"3076, 8217, 165355",103
70323,104
155703,105
125996,106
232824,107
358078,108
63091,109
6266,110
74596,111
14105,112
197070,113
"53953, 142961, 116998",114
125618,115
3201,116
318977,117
144568,118
"478, 13291",119
147009,120
268864,121
154203,122
10547,123
"3705, 22237, 104640",124
65244,125
172386,126
10640,127
2288,128
209136,129
181,130
431,131
147999,132
"103885, 183562",133
417920,134
37111,135
221194,136
121297,137
200853,138
"3071, 2288, 712",139
21523,140
31481,141
"43, 94",142
92120,143
142503,144
788,145
1353,146
822,147
34084,148
"230802, 256226",149
284,150
323609,151
171726,152
59959,153
13883,154
"172737, 124147, 68305, 5525",155
71021,156
42,157
46213,158
173,159
39953,160
"168435, 155426",161
3931,162
62219,163
"3071, 2288, 712, 15985",164
239188,165
249106,166
43144,167
146886,168
2299,169
4432,170
32944,171
71836,172
