,0
221107,1
390478,2
"328871, 296108",3
"367150, 362944",4
"191977, 232988, 433382",5
"431305, 341169",6
226320,7
421006,8
"65901, 224517",9
381248,10
383010,11
256916,12
"364011, 380607",13
359609,14
"383179, 220308, 364186",15
"436126, 410201",16
"364641, 287275",17
182340,18
362517,19
"425005, 394106, 436821, 375852",20
328124,21
"8217, 166669",22
433007,23
220520,24
"200680, 359999, 119890, 255262, 440149, 210625, 205418, 102794",25
358320,26
262477,27
314040,28
398898,29
"33434, 39336, 155873, 424395, 106662",30
"354886, 409496",31
355958,32
324856,33
"205597, 255692, 132531",34
"431038, 363247, 346965, 256226, 287954",35
"233371, 266507, 365717",36
246900,37
"352179, 386538",38
182028,39
"262941, 96260",40
"358557, 414648",41
"316377, 173346, 346703",42
192455,43
283948,44
"111124, 340466",45
360366,46
"358661, 429653",47
"252446, 205507",48
301880,49
"19419, 371688, 244114",50
"209419, 184207",51
"284818, 27364",52
"59753, 422796, 35503, 12589",53
359438,54
"264239, 246639, 362693",55
233078,56
"17133, 27833",57
316380,58
"209418, 184207",59
283317,60
"264637, 335736",61
301628,62
437306,63
"410625, 318553",64
"260428, 198928, 314040, 161936, 221107, 329670, 301919, 234671, 150658, 192153, 370913, 342848",65
"179303, 198994, 407812, 422345",66
"431718, 338460",67
418812,68
327711,69
218208,70
"366495, 290359, 354570",71
349067,72
191004,73
"297562, 336849",74
367966,75
"379037, 235488",76
316378,77
"155689, 139771, 252328",78
"366162, 316546, 354892, 269210",79
359451,80
"281075, 339789, 260937, 392449",81
341165,82
115746,83
440146,84
164153,85
257344,86
369751,87
"258036, 326945, 223278",88
"298572, 313010, 204837",89
40381,90
"367396, 316287, 317030, 162890, 163322",91
"343562, 397897, 423434",92
"142303, 68228",93
"347149, 347148",94
371140,95
"6779, 137492, 230751, 206940, 163370, 4390, 182082, 256065, 147303, 180564, 7717, 12902, 16216, 131014, 41010, 34615",96
231819,97
"209003, 62222, 259066",98
"364073, 293296, 406291",99
172381,100
432229,101
365432,102
"258140, 244525, 390092, 309113, 14996, 329841, 205125, 225244, 366488, 276894, 21348, 253284, 31627, 371140, 403221, 202670, 362541, 34127",103
270131,104
157809,105
"351476, 359394",106
380619,107
383037,108
"318009, 317457",109
"368386, 341945, 195528",110
249821,111
"363289, 428664, 359152, 347117",112
"195571, 174570, 146652, 373105, 256874, 285157, 426580, 200171, 210290",113
322339,114
